Designator,Mid X,Mid Y,Layer,Rotation
C1, 1.27, 8.26,Top,180.0
C2, 1.27, 6.99,Top,180.0
C3,-6.99, 1.27,Top,180.0
C4,-6.99,-4.45,Top,180.0
D1, 6.35, 7.62,Top,180.0
LED1, 0.00,30.00,Top,0.0
LED2, 7.76,28.98,Top,345.0
LED3,15.00,25.98,Top,330.0
LED4,21.21,21.21,Top,315.0
LED5,25.98,15.00,Top,300.0
LED6,28.98, 7.76,Top,285.0
LED7,30.00, 0.00,Top,270.0
LED8,28.98,-7.76,Top,255.0
LED9,25.98,-15.00,Top,240.0
LED10,21.21,-21.21,Top,225.0
LED11,15.00,-25.98,Top,210.0
LED12, 7.76,-28.98,Top,195.0
LED13, 0.00,-30.00,Top,180.0
LED14,-7.76,-28.98,Top,165.0
LED15,-15.00,-25.98,Top,150.0
LED16,-21.21,-21.21,Top,135.0
LED17,-25.98,-15.00,Top,120.0
LED18,-28.98,-7.76,Top,105.0
LED19,-30.00, 0.00,Top,90.0
LED20,-28.98, 7.76,Top,75.0
LED21,-25.98,15.00,Top,60.0
LED22,-21.21,21.21,Top,45.0
LED23,-15.00,25.98,Top,30.0
LED24,-7.76,28.98,Top,15.0
LED25,-1.27,-5.08,Top,180.0
LED26,-1.27,-6.35,Top,180.0
R1,11.79,-2.54,Top,0.0
R2,11.79,-3.81,Top,0.0
R3,-1.27,-2.54,Top,180.0
R4,-1.27,-3.81,Top,180.0
R5,11.79,-1.27,Top,180.0
R6, 6.35, 5.08,Top,270.0
R7, 7.62, 5.08,Top,270.0
R8, 8.89, 5.08,Top,270.0
R9, 8.89,-6.35,Top,90.0
R10, 7.62,-6.35,Top,90.0
R11, 6.35,-6.35,Top,90.0
R12, 5.08,-6.35,Top,90.0
R13, 3.81,-6.35,Top,90.0
R14, 2.54,-6.35,Top,90.0
R15, 1.27,-6.35,Top,90.0
R16, 3.81, 5.08,Top,270.0
R17, 5.08, 5.08,Top,270.0
REG1,-4.45, 7.62,Top,90.0
U2, 5.08,-0.64,Top,270.0
