Comment,Designator,Footprint,LCSC Part #
0.1µ,C2 C3 C4 C5 C6 C7 C11 C14 C16,C0603,C14663
1N4001,D1 D2 D3,SMA-DO214AC,C727079
1k,R18 R19 R22 R23 R26 R27 R28 R29,R0402,C11702
1µ,C8,C0603,C15849
4.7µ,C1,C0603,C19666
5k1,R1 R2 R7 R8,R0402,C25905
10k,R4 R5 R6 R12 R13 R30 R31,R0402,C25744
20k,R14,R0402,C25765
100μ,C9 C10 C12 C13 C15,153CLV-0505,C72487
180k,R11,R0402,C25760
270,R3 R9 R10 R32,R0402,C25099
330k,R20 R21 R24 R25,R0402,C25778
BLUE,LED15 LED16,SML0603,C118339
BSS138,T1 T2 T3,SOT-23,C112239
C1015,Q1,SOT23,C181170
CH340ESMD,U1,MSOP10,C99652
MAX485ESA+T,U5,SOIC127P600X175-8N,MAX485ED
MLT-8530,LS1,MLT-8530_JHE,C94599
STM32F446RET6,U2,LQFP64-10X10MM,C69336
WHITE,LED17 LED18,SML0603,C189306
usb-c,X2 X3,USB_C_CUSB31-CFM2AX-01-X,C2987386
7k5,R17,R0402,C25918
2k2,R15 R16,R0402,C25879
ws2812b,LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14,2020,C965556
