Designator,Mid X,Mid Y,Layer,Rotation
C1,49.00,-2.50,Top,270.0
C2,56.00,-2.50,Top,90.0
D1,52.50,-6.00,Top,180.0
LED1,50.60,-10.00,Top,180.0
LED2,46.20,-10.00,Top,180.0
LED3,41.80,-10.00,Top,180.0
LED4,37.40,-10.00,Top,180.0
LED5,33.00,-10.00,Top,180.0
LED6,28.60,-10.00,Top,180.0
LED7,24.20,-10.00,Top,180.0
LED8,19.80,-10.00,Top,180.0
LED9,15.40,-10.00,Top,180.0
LED10,11.00,-10.00,Top,180.0
LED11, 6.60,-10.00,Top,180.0
LED12, 2.20,-10.00,Top,180.0
LED13,-2.20,-10.00,Top,180.0
LED14,-6.60,-10.00,Top,180.0
LED15,-11.00,-10.00,Top,180.0
LED16,-15.40,-10.00,Top,180.0
LED17,-19.80,-10.00,Top,180.0
LED18,-24.20,-10.00,Top,180.0
LED19,-28.60,-10.00,Top,180.0
LED20,-33.00,-10.00,Top,180.0
LED21,-37.40,-10.00,Top,180.0
LED22,-41.80,-10.00,Top,180.0
LED23,-46.20,-10.00,Top,180.0
LED24,-50.60,-10.00,Top,180.0
REG1,52.50, 1.00,Top,0.0
